Resultado da Simulação

Arquivo de Entrada: entrada_Ex_Barra.txt


---------- Deslocamentos nos Pontos ----------
|Ponto|              u             |              v             |
|  164|            7.6288191964e+00|            3.3633803742e-08|
|  165|            7.6692053572e+00|           -2.4650161912e-09|
|  166|            7.7095513393e+00|            8.7864324705e-09|
|  167|            7.7498571429e+00|           -8.0853936879e-09|
|  168|            7.7901227679e+00|            1.0885958801e-08|
|  169|            7.8303482143e+00|           -1.8377235733e-08|
|  170|            7.8705334822e+00|           -5.7649964802e-09|
|  171|            7.9106785714e+00|            8.3989881716e-10|
|  172|            7.9507834822e+00|           -9.5183971816e-09|
|  173|            7.9908482143e+00|            8.7007023808e-10|
|  174|            8.0308727679e+00|            1.7135874941e-09|
|  175|            8.0708571429e+00|            4.5201540289e-09|
|  176|            8.1108013393e+00|            1.5354854721e-08|
|  177|            8.1507053572e+00|           -2.8306734734e-09|
|  178|            8.1905691964e+00|            4.5269015203e-09|
|  179|            8.2303928572e+00|           -3.5329819070e-09|
|  180|            8.2701763393e+00|            2.6964195321e-09|
|  181|            8.3099196429e+00|            6.9939711800e-09|
|  182|            8.3496227679e+00|            3.2737506039e-09|
|  183|            8.3892857143e+00|            1.3940644195e-09|
|  184|            8.4289084822e+00|            6.4993876947e-10|
|  185|            8.4684910714e+00|            1.1403287203e-09|
|  186|            8.5080334822e+00|            7.1710015703e-10|
|  187|            8.5475357143e+00|           -3.5017446720e-09|
|  188|            8.5869977679e+00|            2.1869306366e-09|
|  189|            8.6264196429e+00|           -3.3549794054e-09|
|  190|            8.6658013393e+00|           -6.1333160772e-11|
|  191|            8.7051428572e+00|           -6.8324244040e-09|
|  192|            8.7444441964e+00|           -1.6691545923e-09|
|  193|            8.7837053572e+00|            2.9901414678e-10|
|  194|            8.8229263393e+00|           -9.8768992984e-11|
|  195|            8.8621071429e+00|            4.5980463881e-10|
|  196|            8.9012477679e+00|           -1.1662493193e-10|
|  197|            8.9403482143e+00|            6.0049565320e-10|
|  198|            8.9794084822e+00|            1.9747403712e-10|
|  199|            9.0184285714e+00|           -1.7722356915e-10|
|  200|            9.0574084822e+00|            2.0688162294e-10|
|  201|            9.0963482143e+00|            2.1884716261e-12|
|  202|            9.1352477679e+00|            1.5198534524e-12|
|  203|            9.1741071429e+00|            5.4500902367e-13|
|  204|            9.2129263393e+00|           -3.9223475107e-14|
|  205|            9.2517053572e+00|           -1.9964642577e-13|
|  206|            9.2904441964e+00|           -1.0291653908e-12|
|  207|            9.3291428572e+00|            5.6016767615e-13|
|  208|            9.3678013393e+00|            9.9177626265e-14|
|  209|            9.4064196429e+00|           -3.9704669403e-23|
|  210|            9.4449977679e+00|            1.0587911841e-22|
|  211|            9.4835357143e+00|            2.4815418377e-24|
|  212|            9.5220334822e+00|           -7.2791893905e-23|
|  213|            9.5604910714e+00|            5.1285197978e-23|
|  214|            9.5989084822e+00|           -5.2939559203e-23|
|  215|            9.6372857143e+00|            1.9852334701e-23|
|  216|            9.6756227679e+00|           -6.6174449004e-23|
|  217|            9.7139196429e+00|           -3.9704669403e-23|
|  218|            9.7521763393e+00|            0.0000000000e+00|
|  219|            9.7903928572e+00|            4.6322114303e-23|
|  220|            9.8285691964e+00|            1.3234889801e-23|
|  221|            9.8667053572e+00|            4.2186211240e-23|
|  222|            9.9048013393e+00|            3.9704669403e-23|
|  223|            9.9428571429e+00|           -1.1911400821e-22|
